Site,Link,Name,Author,Publisher,Year,Language
grenka.ua,https://grenka.ua/318243/sny-i-strakhi,Сны и страхи,Дмитрий Быков,Форс,2019,Russian
grenka.ua,https://grenka.ua/318231/ditlakhi-anansi,Дітлахи Анансі,Ніл Гейман,КМ-Букс,2019,Ukrainian
grenka.ua,https://grenka.ua/318201/evolyutsiya-vsogo,Еволюція всього,Метт Рідлі,КМ-Букс,2019,Ukrainian
grenka.ua,https://grenka.ua/318039/the-forest-song-adapted-for-children,The forest song. Adapted for children,Леся Украинка,Київський будинок книги,2019,Ukrainian
grenka.ua,https://grenka.ua/318039/the-forest-song-adapted-for-children,The forest song. Adapted for children,Леся Украинка,Київський будинок книги,2019,English
grenka.ua,https://grenka.ua/318031/akademiya-zhenskogo-zdorovya-superkomplekt-iz-3-knig,Академия женского здоровья (суперкомплект из 3 книг),Оксана Зубкова,ЭКСМО,2016,Russian
grenka.ua,https://grenka.ua/317995/dumati-yak-albert-ejshtejn,"Думати, як Альберт Ейштейн",Деніел Сміт,КМ-Букс,2019,Ukrainian
grenka.ua,https://grenka.ua/317969/klub-p-yatoyi-ranku,Клуб п’ятої ранку,Робін Шарма,КМ-Букс,2019,Ukrainian
grenka.ua,https://grenka.ua/317843/bestseleri-yuvalya-n-kharari-superkomplekt-z-3-knig,Бестселери Юваля Н. Харарі (суперкомплект з 3 книг),Юваль Ноа Харарі,,"2018, 2016",Ukrainian
grenka.ua,https://grenka.ua/317839/sobranie-sochinenij-valentina-pikulya-superkomplekt-v-19-tomakh,Собрание сочинений Валентина Пикуля (суперкомплект в 19 томах),Валентин Пикуль,АСТ,2010,Russian
grenka.ua,https://grenka.ua/317609/vsemirnaya-istoriya-v-4-kh-tomakh-komplekt-iz-4-knig,Всемирная история. В 4-х томах (комплект из 4 книг),А. Бадак,Харвест,2007,Russian
grenka.ua,https://grenka.ua/317499/sprava-vasilya-stusa-zbirka-dokumentiv-z-arkhivu-kolishnogo-kdb-ursr,Справа Василя Стуса. Збірка документів з архіву колишнього КДБ УРСР,Вахтанг Кіпіані,Виват,2019,Ukrainian
grenka.ua,https://grenka.ua/317121/korona-iz-vedminogo-dereva-superkomplekt-iz-2-knig,Корона из ведьминого дерева (суперкомплект из 2 книг),Тэд Уильямс,Fanzon,,Russian
grenka.ua,https://grenka.ua/317111/koli-zhittya-pidnosit-tobi-lululemoni,Коли життя підносить тобі 'Лулулемони',Лорен Вайсбергер,КМ-Букс,2019,Ukrainian
grenka.ua,https://grenka.ua/317097/saga-o-vidyashhikh-superkomplekt-iz-2-knig,Сага о Видящих (суперкомплект из 2 книг),Робин Хобб,Азбука,2016,Russian
grenka.ua,https://grenka.ua/317095/tvorcheskij-dnevnik-napishi-sebya,Творческий дневник 'Напиши себя',Татьяна Гаврилина,,,Russian
grenka.ua,https://grenka.ua/317071/zhenshhiny-tsezarya,Женщины Цезаря,Колин Маккалоу,Азбука,,Russian
grenka.ua,https://grenka.ua/317065/kruta-adel-superkomplekt-z-3-knig,Крута Адель (суперкомплект з 3 книг),Антуан Доле,Nasha Idea,2019,Ukrainian
grenka.ua,https://grenka.ua/317015/stranstviya-shuta,Сага о Фитце и шуте. Книга 2. Странствия Шута,Робин Хобб,Азбука,,Russian
grenka.ua,https://grenka.ua/317003/ya-ty-i-vse-chto-mezhdu-nami,"Я, ты и все, что между нами",Кэтрин Айзек,"Книжный клуб ""Клуб семейного досуга""",2019,Russian
grenka.ua,https://grenka.ua/317001/korabl-prizrak,Корабль-призрак,Фредерик Марриет,Азбука,,Russian
grenka.ua,https://grenka.ua/316997/velikie-tajny-okeanov-atlanticheskij-okean-indijskij-okean,Великие тайны океанов. Атлантический океан. Индийский океан,Жорж Блон,Азбука,,Russian
grenka.ua,https://grenka.ua/316991/kakoj-obem-mozga-nam-realno-nuzhen,Какой объем мозга нам реально нужен?,Дженнифер Барнет,КоЛибри,,Russian
