Site,Link,Name,Author,Publisher,Year,Language
yakaboo.ua,https://www.yakaboo.ua/ua/the-irrational-ape-why-flawed-logic-puts-us-all-at-risk-and-how-critical-thinking-can-save-the-world-2082527.html,The Irrational Ape. Why Flawed Logic Puts us all at Risk and How Critical Thinking Can Save the World,Девід Граймс,Adult Publishing,2019,English
yakaboo.ua,https://www.yakaboo.ua/ua/teenage-worrier-s-guide-to-success.html,Teenage Worrier's Guide To Success,Рос Асквіт,Corgi Books,2014,English
yakaboo.ua,https://www.yakaboo.ua/ua/bloodlust-and-bonnets.html,Bloodlust and Bonnets,Эмілі Макговерн,Adult Publishing,2019,English
yakaboo.ua,https://www.yakaboo.ua/ua/on-the-day-i-died.html,On the Day I Died,Кендес Флемінг,Corgi Books,2014,English
yakaboo.ua,https://www.yakaboo.ua/ua/the-hand-of-the-devil.html,The Hand of the Devil,Дін Вінсент Картер,Corgi Books,2016,English
yakaboo.ua,https://www.yakaboo.ua/ua/the-perks-of-being-a-wallflower-the-20th-anniversary-edition.html,The Perks of Being a Wallflower. The 20th Anniversary Edition,Стівен Чбоскі,Adult Publishing,2019,English
yakaboo.ua,https://www.yakaboo.ua/ua/untitled-frost-2.html,Untitled Frost 2,Денні Міллер,Bantam,2019,English
yakaboo.ua,https://www.yakaboo.ua/ua/saddle-club-book-7-horse-play.html,Saddle Club Book 7: Horse Play,Бонні Брайант,Random House,2010,English
yakaboo.ua,https://www.yakaboo.ua/ua/katie-price-s-perfect-ponies-ponies-to-the-rescue.html,Katie Price's Perfect Ponies: Ponies to the Rescue,Кеті Прайс,Random House,2013,English
yakaboo.ua,https://www.yakaboo.ua/ua/resistance.html,Resistance,Крейг Сімпсон,Corgi Books,2007,English
yakaboo.ua,https://www.yakaboo.ua/ua/winter-wood.html,Winter Wood,Стів Огард,Corgi Books,2015,English
yakaboo.ua,https://www.yakaboo.ua/ua/callie-s-kitten.html,Callie's Kitten,Адель Герас,Corgi Books,1998,English
yakaboo.ua,https://www.yakaboo.ua/ua/jumpman-rule-two-don-t-even-think-about-it.html,Jumpman Rule Two: Don't Even Think About It,Джеймс Валентайн,Corgi Books,2013,English
yakaboo.ua,https://www.yakaboo.ua/ua/saddle-club-book-5-trail-mates.html,Saddle Club Book 5: Trail Mates,Бонні Брайант,Random House,2010,English
yakaboo.ua,https://www.yakaboo.ua/ua/slumgirl-dreaming-my-journey-to-the-stars.html,Slumgirl Dreaming: My Journey to the Stars,Рубіна Алі,Random House,2013,English
yakaboo.ua,https://www.yakaboo.ua/ua/pasta-reinvented-gluten-free-pastas-alternative-noodles-80-creative-and-delicious-recipes.html,"Pasta Reinvented. Gluten-free Pastas, Alternative Noodles, 80 Creative and Delicious Recipes",Керолайн Бретертон,DK (Dorling Kindersley),2018,English
yakaboo.ua,https://www.yakaboo.ua/ua/katie-price-s-perfect-ponies-pony-n-pooch.html,Katie Price's Perfect Ponies: Pony 'n' Pooch,Кеті Прайс,Random House,2011,English
yakaboo.ua,https://www.yakaboo.ua/ua/katie-price-s-perfect-ponies-pony-club-weekend.html,Katie Price's Perfect Ponies: Pony Club Weekend,Кеті Прайс,Random House,2013,English
yakaboo.ua,https://www.yakaboo.ua/ua/nadia-and-kaye-disaster-chef-simple-recipes-for-cooks-who-can-t.html,Nadia and Kaye Disaster Chef. Simple Recipes for Cooks Who Can't,"Надя Савалха, Кей Адамс",DK (Dorling Kindersley),2018,English
yakaboo.ua,https://www.yakaboo.ua/ua/how-to-cook-the-perfect.html,How to Cook the Perfect...,Маркус Вейрінг,DK (Dorling Kindersley),2015,English
yakaboo.ua,https://www.yakaboo.ua/ua/celebrations-around-the-world.html,Celebrations Around the World,Кеті Гелфорд,DK (Dorling Kindersley),2019,English
yakaboo.ua,https://www.yakaboo.ua/ua/the-three-little-pigs-2074662.html,The Three Little Pigs,,DK (Dorling Kindersley),2019,English
yakaboo.ua,https://www.yakaboo.ua/ua/my-sewing-machine-book-a-step-by-step-beginner-s-guide.html,My Sewing Machine Book. A Step-by-Step Beginner's Guide,Джейн Булл,DK (Dorling Kindersley),2015,English
yakaboo.ua,https://www.yakaboo.ua/ua/bake-it-more-than-150-recipes-for-kids-from-simple-cookies-to-creative-cakes.html,Bake It. More Than 150 Recipes for Kids from Simple Cookies to Creative Cakes!,,DK (Dorling Kindersley),2019,English
yakaboo.ua,https://www.yakaboo.ua/ua/sophie-s-big-busy-play-book.html,Sophie's Big Busy Play Book,,DK (Dorling Kindersley),2017,English
yakaboo.ua,https://www.yakaboo.ua/ua/my-first-farm.html,My First Farm,,DK (Dorling Kindersley),2018,English
yakaboo.ua,https://www.yakaboo.ua/ua/gemstones-2083302.html,Gemstones,Келлі Холл,DK (Dorling Kindersley),2010,English
yakaboo.ua,https://www.yakaboo.ua/ua/rhs-good-plant-guide-more-than-1-500-tried-and-tested-plants.html,"RHS Good Plant Guide. More than 1,500 Tried-and-Tested Plants",,DK (Dorling Kindersley),2015,English
yakaboo.ua,https://www.yakaboo.ua/ua/masterchef-the-classics-with-a-twist.html,MasterChef The Classics with a Twist,,DK (Dorling Kindersley),2018,English
yakaboo.ua,https://www.yakaboo.ua/ua/yoga-for-everyone-50-poses-for-every-type-of-body.html,Yoga for Everyone. 50 Poses for Every Type of Body,Даян Бонді,DK (Dorling Kindersley),2019,English
yakaboo.ua,https://www.yakaboo.ua/ua/walking-for-fitness-make-every-step-count.html,Walking For Fitness. Make every step count,,DK (Dorling Kindersley),2017,English
yakaboo.ua,https://www.yakaboo.ua/ua/ubivstva-za-abetkoju-2107818.html,"Убивства за абеткою
The ABC Murders",Агата Крісті,"Книжковий клуб ""Клуб Сімейного Дозвілля""",2020,Ukrainian
yakaboo.ua,https://www.yakaboo.ua/ua/what-s-really-happening-to-our-planet-the-facts-simply-explained.html,What's Really Happening to Our Planet? The Facts Simply Explained,,DK (Dorling Kindersley),2016,English
yakaboo.ua,https://www.yakaboo.ua/ua/ostanne-poljuvannja.html,"Останнє полювання
La derniere chasse",Жан-Крістоф Гранже,"Книжковий клуб ""Клуб Сімейного Дозвілля""",2020,Ukrainian
yakaboo.ua,https://www.yakaboo.ua/ua/the-feminism-book-big-ideas-simply-explained.html,The Feminism Book. Big Ideas Simply Explained,,DK (Dorling Kindersley),2019,English
yakaboo.ua,https://www.yakaboo.ua/ua/how-philosophy-works-the-concepts-visually-explained.html,How Philosophy Works. The concepts visually explained,,DK (Dorling Kindersley),2019,English
yakaboo.ua,https://www.yakaboo.ua/ua/pro-scho-ja-govorju-koli-govorju-pro-big.html,"Про що я говорю, коли говорю про біг",Харукі Муракамі,Yakaboo Publishing,2020,Ukrainian
yakaboo.ua,https://www.yakaboo.ua/ua/reference-world-atlas-everything-you-need-to-know-about-our-planet-today.html,Reference World Atlas. Everything You Need to Know About Our Planet Today,,DK (Dorling Kindersley),2016,English
yakaboo.ua,https://www.yakaboo.ua/ua/the-making-of-the-british-landscape-how-we-have-transformed-the-land-from-prehistory-to-today.html,"The Making of the British Landscape. How We Have Transformed the Land, from Prehistory to Today",Франсіс Прайор,Penguin,2011,English
yakaboo.ua,https://www.yakaboo.ua/ua/compact-world-atlas-2074832.html,Compact World Atlas,,DK (Dorling Kindersley),2018,English
yakaboo.ua,https://www.yakaboo.ua/ua/rozbijniki-2107736.html,"Розбійники
Die Räuber",Фрідріх Шиллер,Знання,2019,Ukrainian
yakaboo.ua,https://www.yakaboo.ua/ua/digital-gold-the-untold-story-of-bitcoin.html,Digital Gold. The Untold Story of Bitcoin,Натаніел Поппер,Penguin,2016,English
yakaboo.ua,https://www.yakaboo.ua/ua/the-whole-story-and-other-stories.html,The Whole Story and Other Stories,Алі Сміт,Penguin,2014,English
yakaboo.ua,https://www.yakaboo.ua/ua/forensic-hroniki-auditora-iskusstvo-rassledovanija-ljudej-i-deneg.html,Forensic. Хроники аудитора. Искусство расследования людей и денег,Артем Ковбель,Конечный бенефициар,2019,Russian
yakaboo.ua,https://www.yakaboo.ua/ua/enlightenment.html,Enlightenment,Рой Портер,Penguin,2001,English
yakaboo.ua,https://www.yakaboo.ua/ua/the-promised-land-1907272.html,The Promised Land,Андре Наффі-Сахелі,Penguin,2018,English
yakaboo.ua,https://www.yakaboo.ua/ua/survivor-1907371.html,Survivor,Леслі Пірс,Penguin,2014,English
yakaboo.ua,https://www.yakaboo.ua/ua/washington-dc.html,"Washington, DC",,DK (Dorling Kindersley),2018,English
yakaboo.ua,https://www.yakaboo.ua/ua/the-strings-of-murder.html,The Strings of Murder,Оскар де Мюриел,Penguin,2015,English
yakaboo.ua,https://www.yakaboo.ua/ua/rome-2078383.html,Rome,,DK (Dorling Kindersley),2019,English
yakaboo.ua,https://www.yakaboo.ua/ua/things-to-make-and-do-in-the-fourth-dimension.html,Things to Make and Do in the Fourth Dimension,Метт Паркер,Penguin,2015,English
yakaboo.ua,https://www.yakaboo.ua/ua/vancouver-and-vancouver-island.html,Vancouver and Vancouver Island,,DK (Dorling Kindersley),2018,English
yakaboo.ua,https://www.yakaboo.ua/ua/more-than-enough.html,More Than Enough: Claiming Space for Who You Are (No Matter What They Say),Елейн Велтерот,Ebury Press,2019,English
yakaboo.ua,https://www.yakaboo.ua/ua/dead-aid.html,Dead Aid,Дамбіса Мойо,Penguin,2010,English
yakaboo.ua,https://www.yakaboo.ua/ua/bear-grylls-survival-skills-expedition-planning.html,Bear Grylls Survival Skills: Expedition Planning,Беар Гріллс,Everything,2019,English
yakaboo.ua,https://www.yakaboo.ua/ua/medic-saving-lives-from-dunkirk-to-afghanistan.html,Medic. Saving Lives — From Dunkirk to Afghanistan,"Джон Ніколь, Тоні Реннел",Penguin,2010,English
yakaboo.ua,https://www.yakaboo.ua/ua/montreal-and-quebec-city.html,Montreal and Quebec City,,DK (Dorling Kindersley),2019,English
yakaboo.ua,https://www.yakaboo.ua/ua/rumpole-at-christmas.html,Rumpole at Christmas,Джон Мортімер,Penguin,2013,English
yakaboo.ua,https://www.yakaboo.ua/ua/bear-grylls-survival-skills-exercise.html,Bear Grylls Survival Skills: Exercise,Беар Гріллс,Everything,2019,English
yakaboo.ua,https://www.yakaboo.ua/ua/mustafa-dzhemilev-nezlamnij.html,Мустафа Джемілєв. Незламний,"Севгіль Мусаєва, Алім Алієв",Vivat,2017,Ukrainian
yakaboo.ua,https://www.yakaboo.ua/ua/mustafa-dzhemilev-nesgibaemyj.html,Мустафа Джемилев. Несгибаемый,"Севгіль Мусаєва, Алім Алієв",Vivat,2017,Russian
yakaboo.ua,https://www.yakaboo.ua/ua/hong-kong-2081378.html,Hong Kong,,DK (Dorling Kindersley),2018,English
yakaboo.ua,https://www.yakaboo.ua/ua/the-snow-girls.html,The Snow Girls,Кріс Муні,Penguin,2018,English
yakaboo.ua,https://www.yakaboo.ua/ua/poor-badger.html,Poor Badger,Кетлін Геральд,Corgi Books,2013,English
yakaboo.ua,https://www.yakaboo.ua/ua/under-pressure.html,Under Pressure,Тоні Бредмен,Corgi Books,2009,English
yakaboo.ua,https://www.yakaboo.ua/ua/gran-canaria.html,Gran Canaria,,DK (Dorling Kindersley),2019,English
yakaboo.ua,https://www.yakaboo.ua/ua/strangled-silence.html,Strangled Silence,Ошин Макгенн,Corgi Books,2015,English
yakaboo.ua,https://www.yakaboo.ua/ua/bear-grylls-world-adventure-survival-camp.html,Bear Grylls World Adventure Survival Camp,Беар Гріллс,Everything,2016,English
yakaboo.ua,https://www.yakaboo.ua/ua/corsica.html,Corsica,,DK (Dorling Kindersley),2019,English
yakaboo.ua,https://www.yakaboo.ua/ua/ancient-appetites.html,Ancient Appetites,Ошин Макгенн,Corgi Books,2013,English
yakaboo.ua,https://www.yakaboo.ua/ua/the-new-world-order.html,The New World Order,Бен Джипс,Corgi Books,2015,English
yakaboo.ua,https://www.yakaboo.ua/ua/bear-grylls-epic-adventures-series-epic-flights.html,Bear Grylls Epic Adventures Series - Epic Flights,Беар Гріллс,Everything,2018,English
yakaboo.ua,https://www.yakaboo.ua/ua/face-to-face-2085210.html,Face To Face,Сандра Гловер,Corgi Books,2002,English
yakaboo.ua,https://www.yakaboo.ua/ua/the-upright-thinkers.html,The Upright Thinkers,Леонард Млодінов,Penguin,2016,English
