Site,Link,Name,Author,Publisher,Year,Language
yakaboo.ua,https://www.yakaboo.ua/ua/fire-over-london-a-novel-of-the-adams-family-saga.html,Fire Over London: A Novel of the Adams Family Saga,Мері Дж. Стейплз,Corgi Books,2009,English
yakaboo.ua,https://www.yakaboo.ua/ua/searching-for-tilly.html,Searching For Tilly,Сьюзен Салліс,Corgi Books,2007,English
yakaboo.ua,https://www.yakaboo.ua/ua/cara-s-land.html,Cara's Land,Елві Родес,Corgi Books,2009,English
yakaboo.ua,https://www.yakaboo.ua/ua/the-long-walk-home-2085209.html,The Long Walk Home,Вал Вуд,Corgi Books,2020,English
yakaboo.ua,https://www.yakaboo.ua/ua/i-am-not-myself-these-days.html,I Am Not Myself These Days,Джош Кілмер-Перселл,Corgi Books,2015,English
yakaboo.ua,https://www.yakaboo.ua/ua/son-of-a-silverback.html,Son of a Silverback,Расселл Кейн,Corgi Books,2020,English
yakaboo.ua,https://www.yakaboo.ua/ua/normandy-44-d-day-and-the-battle-for-france-2081789.html,Normandy ‘44: D-Day and the Battle for France,Джеймс Холленд,Corgi Books,2020,English
yakaboo.ua,https://www.yakaboo.ua/ua/chandlers-green.html,Chandlers Green,Рут Гамільтон,Corgi Books,2015,English
yakaboo.ua,https://www.yakaboo.ua/ua/the-source-2083871.html,The Source,Майкл Корді,Corgi Books,2009,English
yakaboo.ua,https://www.yakaboo.ua/ua/the-wingless-bird.html,The Wingless Bird,Кетрін Куксон,Corgi Books,2018,English
yakaboo.ua,https://www.yakaboo.ua/ua/borderline.html,Borderline,Ліза Марклунд,Corgi Books,2018,English
yakaboo.ua,https://www.yakaboo.ua/ua/the-contract.html,The Contract,Девід Левіен,Corgi Books,2012,English
yakaboo.ua,https://www.yakaboo.ua/ua/a-dog-named-beautiful-2070416.html,A Dog Named Beautiful: The true story of the Labrador who taught a Marine to love life again,Роберт Куглер,Corgi Books,2020,English
