Site,Link,Name,Author,Publisher,Year,Language
yakaboo.ua,https://www.yakaboo.ua/ua/365-sovetov-na-pervyj-god-zhizni-vashego-rebenka.html,365 советов на первый год жизни вашего ребенка,Євгеній Комаровський,Клиником,2018,Russian
yakaboo.ua,https://www.yakaboo.ua/ua/prokljattja-inshih.html,Прокляття інших,Ігор Стамбол,Мандрівець,2020,Ukrainian
yakaboo.ua,https://www.yakaboo.ua/ua/vid-mak-ostanne-bazhannja.html,"Відьмак. Останнє бажання
Wiedzmin. Ostatnie zyczenie",Анджей Сапковський,"Книжковий клуб ""Клуб Сімейного Дозвілля""",2016,Ukrainian
yakaboo.ua,https://www.yakaboo.ua/ua/matematika-kompleksne-vidannja-zno-2020.html,Математика. Комплексне видання. ЗНО 2020,"Юрій Захарійченко, Альбіна Гальперіна, Олександр Школьний, Марина Забєлишинська, Вадим Карпік",Літера ЛТД,2019,Ukrainian
yakaboo.ua,https://www.yakaboo.ua/ua/jak-ja-doroslishaju-posibnik-dlja-hlopciv.html,"Як я дорослішаю. Посібник для хлопців
The Boys' Guide to Growing Up",Філ Вілкінсон,#книголав,2019,Ukrainian
yakaboo.ua,https://www.yakaboo.ua/ua/pishi-sokraschaj-kak-sozdavat-sil-nyj-tekst.html,"Пиши, сокращай. Как создавать сильный текст","Людмила Саричєва, Максим Ільяхов",Альпіна Паблішер,2019,Russian
yakaboo.ua,https://www.yakaboo.ua/ua/jak-ja-doroslishaju-posibnik-dlja-divchat.html,"Як я дорослішаю. Посібник для дівчат
The Girls' Guide to Growing Up",Аніта Найк,#книголав,2019,Ukrainian
yakaboo.ua,https://www.yakaboo.ua/ua/tonkoe-iskusstvo-pofigizma-paradoksal-nyj-sposob-zhit-schastlivo-2091780.html,"Тонкое искусство пофигизма. Парадоксальный способ жить счастливо
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life",Марк Менсон,Альпіна Паблішер,2019,Russian
yakaboo.ua,https://www.yakaboo.ua/ua/faktologija-10-hibnih-ujavlen-pro-svit-i-chomu-vse-nabagato-krasche-nizh-mi-dumaemo.html,"Фактологія. 10 хибних уявлень про світ, і чому все набагато краще, ніж ми думаємо
Factfulness: Ten Reasons We're Wrong About the World - and Why Things Are Better Than You Think","Ганс Рослінг, Уля Рослінг, Анна Рослінг-Рьоннлюнд",Наш Формат,2019,Ukrainian
yakaboo.ua,https://www.yakaboo.ua/ua/malen-kie-zhenschiny-1861501.html,"Маленькие женщины
Little Women",Луїза Мей Олкотт,"Книжковий клуб ""Клуб Сімейного Дозвілля""",2019,Russian
yakaboo.ua,https://www.yakaboo.ua/ua/listi-rizdvjanogo-dida.html,Листи Різдвяного Діда,Джон Р. Р. Толкін,Астролябія,2017,Ukrainian
yakaboo.ua,https://www.yakaboo.ua/ua/muzej-pokinutih-sekretiv-1448895.html,Музей покинутих секретів,Оксана Забужко,Комора,2015,Ukrainian
yakaboo.ua,https://www.yakaboo.ua/ua/vitonchene-mistectvo-zabivati-na-vse-nestandartnij-pidhid-do-problem.html,"Витончене мистецтво забивати на все. Нестандартний підхід до проблем
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good",Марк Менсон,Наш Формат,2018,Ukrainian
yakaboo.ua,https://www.yakaboo.ua/ua/nenasil-stvennoe-obschenie-jazyk-zhizni.html,"Ненасильственное общение. Язык жизни
 Nonviolent Communication. A Language of Life",Маршалл Розенберг,София,2018,Russian
yakaboo.ua,https://www.yakaboo.ua/ua/rework-cja-kniga-pereverne-vash-pogljad-na-biznes.html,"Rework. Ця книжка змінить Ваш погляд на бізнес
Rework","Джейсон Фрайд, Девід Хейнмейер Ханссон","Книжковий клуб ""Клуб Сімейного Дозвілля""",2016,Ukrainian
yakaboo.ua,https://www.yakaboo.ua/ua/muzhchiny-s-marsa-zhenschiny-s-venery-1638754.html,"Мужчины с Марса, Женщины с Венеры",Джон Грей,София,2016,Russian
yakaboo.ua,https://www.yakaboo.ua/ua/the-7-habits-of-highly-effective-people.html,"7 звичок надзвичайно ефективних людей
The 7 Habits of Highly Effective People",Стівен Кові,"Книжковий клуб ""Клуб Сімейного Дозвілля""",2012,Ukrainian
