Site,Link,Name,Author,Publisher,Year,Language
bukva.ua,https://bukva.ua/ua/catalog/browse/333/1/754817,"Одним словом. Книга для тех, кто хочет придумать",Сергей Малайкин,"Манн, Иванов и Фербер",2018,Russian
bukva.ua,https://bukva.ua/ua/catalog/browse/1974/1/754816,"Неймовірний проект. Дружба, що трансформувала наше уявлення про людську свідомість",Майкл Льюїс,КМ-Букс,2020,Ukrainian
bukva.ua,https://bukva.ua/ua/catalog/browse/1974/1/754815,"Маленькі звички, великі зміни",Стівен Гендел,КМ-Букс,2020,Ukrainian
bukva.ua,https://bukva.ua/ua/catalog/browse/312/1/754813,Соломія Крушельницька,Ігор Коляда,Фоліо,2019,Ukrainian
bukva.ua,https://bukva.ua/ua/catalog/browse/312/1/754812,Павло Скоропадський,Віктор Савченко,Фоліо,2019,Ukrainian
bukva.ua,https://bukva.ua/ua/catalog/browse/312/1/754811,Михайль Семенко,Ростислав Коломієць,Фоліо,2019,Ukrainian
bukva.ua,https://bukva.ua/ua/catalog/browse/312/1/754810,Гнат Хоткевич,Ростислав Коломієць,Фоліо,2019,Ukrainian
bukva.ua,https://bukva.ua/ua/catalog/browse/1974/1/754809,Вишукане мистецтво прибирання по-шведські,Маргарета Магнуссом,КМ-Букс,2020,Ukrainian
bukva.ua,https://bukva.ua/ua/catalog/browse/1534/1/754808,Емі і Таємний Клуб Супердівчат,Агнєшка Мєлех,Видавництво Старого Лева,2019,Ukrainian
bukva.ua,https://bukva.ua/ua/catalog/browse/537/1/754807,Безсмертя,Мілан Кундера,Видавництво Старого Лева,2020,Ukrainian
bukva.ua,https://bukva.ua/ua/catalog/browse/537/1/754806,"Вгору сходами, що ведуть униз",Бел Кауфман,Видавництво Старого Лева,2020,Ukrainian
bukva.ua,https://bukva.ua/ua/catalog/browse/366/1/754804,"501 факт, який треба знати з... географії",Сара Стенб’юрі,Видавництво Старого Лева,2020,Ukrainian
bukva.ua,https://bukva.ua/ua/catalog/browse/1519/1/754802,Ключ від Позасвіття,"Альбін Альвтеґен, Карін Альвтеґен",Видавництво Старого Лева,,Ukrainian
bukva.ua,https://bukva.ua/ua/catalog/browse/527/1/754801,"Історія, яку розповіла Жука",Грася Олійко,Видавництво Старого Лева,2019,Ukrainian
bukva.ua,https://bukva.ua/ua/catalog/browse/1534/1/754799,Клуб червоних кедів. Подруги forever!,Ана Пунсет,Видавництво Старого Лева,2019,Ukrainian
bukva.ua,https://bukva.ua/ua/catalog/browse/312/1/754798,Ларс фон Триер. Тайная жизнь гения,Нильс Торсен,Рипол Классик,2019,Russian
bukva.ua,https://bukva.ua/ua/catalog/browse/1575/1/754796,"Как ходить в музей. Советы о том, как сделать посещение по-настоящему запоминающимся",Йохан Идема,Рипол Классик,2016,Russian
bukva.ua,https://bukva.ua/ua/catalog/browse/288/1/754795,Три дня во Флоренции. Краткий путеводитель в рисунках,"Сергей Чобан, Анна Мартовицкая",Рипол Классик,2016,Russian
bukva.ua,https://bukva.ua/ua/catalog/browse/2216/1/754793,Три дня в Венеции. Краткий путеводитель в рисунках,"Анна Мартовицкая, Сергей Чобан",Рипол Классик,2017,Russian
bukva.ua,https://bukva.ua/ua/catalog/browse/537/1/754792,"Есть, молиться, любить",Элизабет Гилберт,"Манн, Иванов и Фербер",2019,Russian
bukva.ua,https://bukva.ua/ua/catalog/browse/377/1/754790,Что такое искусство?,Артур Данто,Рипол Классик,2018,Russian
bukva.ua,https://bukva.ua/ua/catalog/browse/235/1/754784,Религия Древнего Египта. Часть 1. Земля и боги,"Андрей Зубов, Ольга Зубова",Рипол Классик,2017,Russian
bukva.ua,https://bukva.ua/ua/catalog/browse/1974/1/754783,"Парадокс страсти. Она его любит, а он ее нет","Кассандра Филлипс, Дин К. Делис","Манн, Иванов и Фербер",2019,Russian
bukva.ua,https://bukva.ua/ua/catalog/browse/379/1/754780,Спасите котика! И другие секреты сценарного мастерства,Блэйк Снайдер,"Манн, Иванов и Фербер",2019,Russian
bukva.ua,https://bukva.ua/ua/catalog/browse/379/1/754779,Школа литературного и сценарного мастерства. От замысла до результата.,Юрген Вольф,Альпина Бизнес Букс,2019,Russian
bukva.ua,https://bukva.ua/ua/catalog/browse/4298/1/754778,Законы лидерства Теодор Рузвельт   ,,Elite-Book,,Russian
bukva.ua,https://bukva.ua/ua/catalog/browse/4298/1/754777,Крепкие спиртные напитки,,Elite-Book,2016,Russian
bukva.ua,https://bukva.ua/ua/catalog/browse/4298/1/754776,Forbes. 10 000 мыслей и идей от влиятельных бизнес-лидеров  от влиятельных  бизнес лидеров,Тед Гудман,Elite-Book,2017,Russian
bukva.ua,https://bukva.ua/ua/catalog/browse/4298/1/754775,Из третьего мира - в первый. История Сингапура (1965-2000),Ли Куан Ю,Elite-Book,,Russian
bukva.ua,https://bukva.ua/ua/catalog/browse/1534/1/754771,Мортіна Та Примарний Друг,Барбара Кантіні,Школа,2019,Ukrainian
bukva.ua,https://bukva.ua/ua/catalog/browse/537/1/754718,Отбор. Элита. Единственная. Трилогия,Кира Касс,Азбука,2019,Russian
bukva.ua,https://bukva.ua/ua/catalog/browse/290/1/754717,Кукловоды. Дверь в Лето. Двойная звезда. Звездный десант,Роберт Хайнлайн,Азбука,2019,Russian
bukva.ua,https://bukva.ua/ua/catalog/browse/4056/1/754716,Мечтатель,Габриэль Ба,Азбука,2019,Russian
bukva.ua,https://bukva.ua/ua/catalog/browse/262/1/754699,Нова радість стала,,А-ба-ба-га-ла-ма-га,2019,Ukrainian
bukva.ua,https://bukva.ua/ua/catalog/browse/316/1/754695,Каторжна,Борис Грінченко,Фоліо,2019,Ukrainian
bukva.ua,https://bukva.ua/ua/catalog/browse/2075/1/754689,Игры тестостерона и другие вопросы биологии поведения,Роберт Сапольски,Альпина Украина,2020,Russian
bukva.ua,https://bukva.ua/ua/catalog/browse/2075/1/754687,Последнее объятие Мамы. Чему нас учат эмоции животных,Франс де Вааль.,Альпина Украина,2020,Russian
bukva.ua,https://bukva.ua/ua/catalog/browse/2075/1/754686,"Она смеется, как мать. Могущество и причуды наследственности",Карл Циммер,Альпина Украина,2020,Russian
bukva.ua,https://bukva.ua/ua/catalog/browse/1976/1/754685,Идентичность. Стремление к признанию и неприятие,Фукуяма Фрэнсис,Альпина Украина,2020,Russian
bukva.ua,https://bukva.ua/ua/catalog/browse/1976/1/754684,Искуство обмана :Социальная инженерия в мошеничиских схемах,Кристофер Хэднеги,Альпина Украина,2020,Russian
bukva.ua,https://bukva.ua/ua/catalog/browse/256/1/754683,"Бьюти-мифы. Вся правда о ботоксе, стволовых клетках, органической косметике и многом другом","Яна Зубцова, Тийна Орасмяэ-Медер",Альпина Украина,2020,Russian
bukva.ua,https://bukva.ua/ua/catalog/browse/379/1/754680,Психология для сценаристов. Построение конфликта,Уильям Индик,Альпина Украина,2020,Russian
bukva.ua,https://bukva.ua/ua/catalog/browse/379/1/754678,Путешествие писателя. Мифологические структуры в литературе и кино,Кристофер Воглер,Альпина Украина,2020,Russian
bukva.ua,https://bukva.ua/ua/catalog/browse/523/1/754673,"Маркетинг от А до Я. 80 концепций, которые должен знать каждый менеджер",Филип Котлер,Альпина Украина,2020,Russian
bukva.ua,https://bukva.ua/ua/catalog/browse/364/1/754668,Маленькі жінки. Частина 1.,Луїза Мей Олкотт,Фоліо,2019,Ukrainian
