Site,Link,Name,Author,Publisher,Year,Language
yakaboo.ua,https://www.yakaboo.ua/ua/room-1965502.html,Room,Емма Донохью,Macmillan Ltd,2015,English
yakaboo.ua,https://www.yakaboo.ua/ua/the-wicked-stepdaughter.html,The Wicked Stepdaughter,Венди Харріс,Black Lace,2006,English
yakaboo.ua,https://www.yakaboo.ua/ua/opal-darkness.html,Opal Darkness,Клео Корделл,Ebury Press,2006,English
yakaboo.ua,https://www.yakaboo.ua/ua/wolf-at-the-door.html,Wolf At The Door,Саванна Сміт,Ebury Press,2006,English
yakaboo.ua,https://www.yakaboo.ua/ua/kiwis-might-fly.html,Kiwis Might Fly,Поллі Еванс,Bantam,2010,English
yakaboo.ua,https://www.yakaboo.ua/ua/amanda-s-young-men.html,Amanda's Young Men,Медлін Мур,Black Lace,2010,English
yakaboo.ua,https://www.yakaboo.ua/ua/treading-grapes.html,Treading Grapes,Розмарі Джордж,Bantam,2009,English
yakaboo.ua,https://www.yakaboo.ua/ua/a-private-view.html,A Private View,,Black Lace,2013,English
yakaboo.ua,https://www.yakaboo.ua/ua/the-name-of-an-angel.html,The Name of an Angel,Лора Торнтон,Black Lace,2013,English
yakaboo.ua,https://www.yakaboo.ua/ua/on-a-hoof-and-a-prayer.html,On A Hoof And A Prayer,Поллі Еванс,Bantam,2011,English
yakaboo.ua,https://www.yakaboo.ua/ua/a-private-view.html,A Private View,,Black Lace,2013,English
yakaboo.ua,https://www.yakaboo.ua/ua/the-name-of-an-angel.html,The Name of an Angel,Лора Торнтон,Black Lace,2013,English
yakaboo.ua,https://www.yakaboo.ua/ua/on-a-hoof-and-a-prayer.html,On A Hoof And A Prayer,Поллі Еванс,Bantam,2011,English
yakaboo.ua,https://www.yakaboo.ua/ua/the-beauty-of-surrender.html,The Beauty of Surrender,Іден Бредлі,Black Lace,2013,English
yakaboo.ua,https://www.yakaboo.ua/ua/desire-s-edge.html,Desire's Edge,Єва Берлін / Еден Бредлі,Black Lace,2013,English
yakaboo.ua,https://www.yakaboo.ua/ua/everyday-grace.html,Everyday Grace,Маріанна Вільямсон,Bantam,2010,English
yakaboo.ua,https://www.yakaboo.ua/ua/french-lessons-2083587.html,French Lessons,,Black Lace,2015,English
yakaboo.ua,https://www.yakaboo.ua/ua/a-perfect-life-2069412.html,A Perfect Life,Кейт Томпсон,Bantam,2009,English
